RPeakID,RPeakTime,ParticipantID
66,35.661,21
67,36.234,21
68,36.708,21
69,37.209,21
70,37.7,21
71,38.206,21
72,38.657,21
73,39.241,21
74,39.72,21
75,40.255,21
76,40.717,21
77,41.308,21
78,41.885,21
79,42.358,21
80,42.862,21
81,43.363,21
82,43.918,21
83,44.387,21
84,44.84,21
85,45.439,21
86,45.961,21
87,46.43,21
88,46.903,21
89,47.408,21
90,47.919,21
91,48.386,21
92,48.844,21
93,49.336,21
94,49.831,21
95,50.301,21
96,50.76,21
97,51.347,21
98,51.804,21
99,52.318,21
100,52.78,21
101,53.303,21
102,53.823,21
103,54.452,21
104,54.962,21
105,55.56,21
106,56.045,21
107,56.521,21
108,57.047,21
109,57.527,21
110,58.005,21
111,58.556,21
112,59.066,21
113,59.529,21
114,60.049,21
115,60.529,21
116,61.009,21
117,61.512,21
118,62,21
119,62.487,21
120,63.285,21
121,63.855,21
1,0.44,22
2,1.053,22
3,1.649,22
4,2.246,22
5,2.842,22
6,3.443,22
7,4.065,22
8,4.714,22
9,5.364,22
10,6.001,22
11,6.643,22
12,7.284,22
13,7.906,22
14,8.533,22
15,9.165,22
16,9.783,22
17,10.401,22
18,11.032,22
19,11.669,22
20,12.288,22
21,12.912,22
22,13.535,22
23,14.151,22
24,14.756,22
25,15.367,22
26,15.974,22
27,16.573,22
28,17.163,22
29,17.758,22
30,18.35,22
31,18.946,22
32,19.534,22
33,20.125,22
34,20.725,22
35,21.323,22
36,21.918,22
37,22.501,22
38,23.083,22
39,23.663,22
40,24.238,22
41,24.803,22
42,25.375,22
43,25.947,22
44,26.517,22
45,27.081,22
46,27.653,22
47,28.226,22
48,28.795,22
49,29.368,22
50,29.947,22
51,30.531,22
52,31.103,22
53,31.681,22
54,32.253,22
55,32.832,22
56,33.402,22
57,33.969,22
58,34.541,22
59,35.115,22
60,35.687,22
61,36.255,22
62,36.827,22
63,37.403,22
64,37.971,22
65,38.538,22
66,39.098,22
67,39.661,22
68,40.212,22
69,40.771,22
70,41.327,22
71,41.886,22
72,42.448,22
73,43.01,22
74,43.571,22
75,44.136,22
76,44.692,22
77,45.247,22
78,45.806,22
79,46.36,22
80,46.904,22
81,47.455,22
82,48.008,22
83,48.561,22
84,49.113,22
85,49.671,22
86,50.23,22
87,50.792,22
88,51.344,22
